Time	UTC	GPS_lat(deg)	GPS_long(deg)	CBF:psi_ref	CBF:omega_safe
25.442	14:17:35.696	37.196139208	-3.620409726	0.,0.	0.
25.692	14:17:35.946	37.196139279	-3.620409726	0.,0.	0.
25.942	14:17:36.196	37.196139455	-3.620409638	0.,0.	0.
26.192	14:17:36.446	37.196139631	-3.620409638	0.,0.	0.
26.442	14:17:36.696	37.196139737	-3.620409726	0.,0.	0.
26.692	14:17:36.946	37.196139807	-3.620409858	0.,0.	0.
26.942	14:17:37.196	37.196140089	-3.620409726	0.,0.	0.
27.192	14:17:37.446	37.196140089	-3.620409726	0.,0.	0.
27.442	14:17:37.696	37.196140371	-3.620409637	0.,0.	0.
27.692	14:17:37.946	37.196140441	-3.620409637	0.,0.	0.
27.942	14:17:38.196	37.196140441	-3.620409637	0.,0.	0.
28.192	14:17:38.446	37.196140441	-3.620409637	0.,0.	0.
28.442	14:17:38.696	37.196140546	-3.620409637	0.,0.	0.
28.692	14:17:38.946	37.196140723	-3.620409505	0.,0.	0.
28.942	14:17:39.196	37.196140722	-3.620409284	0.,0.	0.
29.192	14:17:39.446	37.196140828	-3.620409196	0.,0.	0.
29.442	14:17:39.696	37.196141075	-3.620409064	0.,0.	0.
29.692	14:17:39.946	37.196141180	-3.620409064	0.,0.	0.
29.942	14:17:40.196	37.196141251	-3.620409064	0.,0.	0.
30.192	14:17:40.446	37.196141462	-3.620408931	0.,0.	0.
30.442	14:17:40.696	37.196141638	-3.620408843	0.,0.	0.
30.692	14:17:40.946	37.196141709	-3.620408711	0.,0.	0.
30.942	14:17:41.196	37.196141814	-3.620408711	0.,0.	0.
31.192	14:17:41.446	37.196141885	-3.620408843	0.,0.	0.
31.442	14:17:41.696	37.196141990	-3.620408843	0.,0.	0.
31.692	14:17:41.946	37.196141990	-3.620408931	0.,0.	0.
31.942	14:17:42.196	37.196142061	-3.620408931	0.,0.	0.
32.192	14:17:42.446	37.196142166	-3.620409063	0.,0.	0.
32.442	14:17:42.696	37.196142448	-3.620409195	0.,0.	0.
32.692	14:17:42.946	37.196142624	-3.620409195	0.,0.	0.
32.942	14:17:43.196	37.196142801	-3.620409415	0.,0.	0.
33.192	14:17:43.446	37.196142800	-3.620409415	0.,0.	0.
33.442	14:17:43.696	37.196142871	-3.620409503	0.,0.	0.
33.692	14:17:43.946	37.196143082	-3.620409635	0.,0.	0.
33.942	14:17:44.196	37.196143082	-3.620409635	0.,0.	0.
34.192	14:17:44.446	37.196143329	-3.620409855	0.,0.	0.
34.442	14:17:44.696	37.196143434	-3.620409943	0.,0.	0.
34.692	14:17:44.946	37.196143787	-3.620410075	0.,0.	0.
34.942	14:17:45.196	37.196143893	-3.620410207	0.,0.	0.
35.192	14:17:45.446	37.196143893	-3.620410207	0.,0.	0.
35.442	14:17:45.696	37.196144245	-3.620410428	0.,0.	0.
35.692	14:17:45.946	37.196144245	-3.620410428	0.,0.	0.
35.942	14:17:46.196	37.196144421	-3.620410515	0.,0.	0.
36.192	14:17:46.446	37.196144527	-3.620410515	0.,0.	0.
36.442	14:17:46.696	37.196144773	-3.620410515	0.,0.	0.
36.692	14:17:46.946	37.196144949	-3.620410515	0.,0.	0.
36.942	14:17:47.196	37.196145126	-3.620410515	0.,0.	0.
37.192	14:17:47.446	37.196145407	-3.620410735	0.,0.	0.
37.442	14:17:47.696	37.196145513	-3.620410956	0.,0.	0.
37.692	14:17:47.946	37.196145689	-3.620410955	0.,0.	0.
37.942	14:17:48.196	37.196145689	-3.620410955	0.,0.	0.
38.192	14:17:48.446	37.196145689	-3.620410955	0.,0.	0.
38.442	14:17:48.696	37.196145689	-3.620410955	0.,0.	0.
38.692	14:17:48.946	37.196145689	-3.620410955	0.,0.	0.
38.942	14:17:49.196	37.196145689	-3.620410955	0.,0.	0.
39.192	14:17:49.446	37.196145689	-3.620410955	0.,0.	0.
39.442	14:17:49.696	37.196145689	-3.620410955	0.,0.	0.
39.692	14:17:49.946	37.196145689	-3.620410955	0.,0.	0.
39.942	14:17:50.196	37.196145689	-3.620410955	0.,0.	0.
40.192	14:17:50.446	37.196145689	-3.620410955	0.,0.	0.
40.442	14:17:50.696	37.196145689	-3.620410955	0.,0.	0.
40.692	14:17:50.946	37.196145689	-3.620410955	0.,0.	0.
40.942	14:17:51.196	37.196145689	-3.620410955	0.,0.	0.
41.192	14:17:51.446	37.196145689	-3.620410955	0.,0.	0.
41.442	14:17:51.696	37.196145689	-3.620410955	0.,0.	0.
41.692	14:17:51.946	37.196145689	-3.620410955	0.,0.	0.
41.942	14:17:52.196	37.196148402	-3.620411527	0.,0.	0.
42.192	14:17:52.446	37.196148473	-3.620411527	0.,0.	0.
42.442	14:17:52.696	37.196148578	-3.620411659	0.,0.	0.
42.692	14:17:52.946	37.196148578	-3.620411659	0.,0.	0.
42.942	14:17:53.196	37.196148578	-3.620411659	0.,0.	0.
43.192	14:17:53.446	37.196148578	-3.620411659	0.,0.	0.
43.442	14:17:53.696	37.196148578	-3.620412011	0.,0.	0.
43.692	14:17:53.946	37.196148754	-3.620412099	0.,0.	0.
43.942	14:17:54.196	37.196148824	-3.620412231	0.,0.	0.
44.192	14:17:54.446	37.196148754	-3.620412231	0.,0.	0.
44.442	14:17:54.696	37.196148648	-3.620412319	0.,0.	0.
44.692	14:17:54.946	37.196148648	-3.620412451	0.,0.	0.
44.942	14:17:55.196	37.196148648	-3.620412451	0.,0.	0.
45.192	14:17:55.446	37.196148753	-3.620412539	0.,0.	0.
45.442	14:17:55.696	37.196148648	-3.620412671	0.,0.	0.
45.692	14:17:55.946	37.196148647	-3.620412759	0.,0.	0.
45.942	14:17:56.196	37.196148753	-3.620412759	0.,0.	0.
46.192	14:17:56.446	37.196148753	-3.620412671	0.,0.	0.
46.442	14:17:56.696	37.196148753	-3.620412671	0.,0.	0.
46.692	14:17:56.946	37.196148753	-3.620412538	0.,0.	0.
46.942	14:17:57.196	37.196148823	-3.620412538	0.,0.	0.
47.192	14:17:57.446	37.196148753	-3.620412450	0.,0.	0.
47.442	14:17:57.696	37.196148753	-3.620412318	0.,0.	0.
47.692	14:17:57.946	37.196148647	-3.620412230	0.,0.	0.
47.942	14:17:58.196	37.196148576	-3.620412230	0.,0.	0.
48.192	14:17:58.446	37.196148752	-3.620412229	0.,0.	0.
48.442	14:17:58.696	37.196148752	-3.620412229	0.,0.	0.
48.692	14:17:58.946	37.196148646	-3.620412097	0.,0.	0.
48.942	14:17:59.196	37.196148646	-3.620412229	0.,0.	0.
49.192	14:17:59.446	37.196148646	-3.620412317	0.,0.	0.
49.442	14:17:59.696	37.196148646	-3.620412317	0.,0.	0.
49.692	14:17:59.946	37.196148752	-3.620412317	0.,0.	0.
49.942	14:18:0.196	37.196148928	-3.620412449	0.,0.	0.
50.192	14:18:0.446	37.196148928	-3.620412449	0.,0.	0.
50.442	14:18:0.696	37.196148822	-3.620412449	0.,0.	0.
50.692	14:18:0.946	37.196148927	-3.620412317	0.,0.	0.
50.942	14:18:1.196	37.196148927	-3.620412316	0.,0.	0.
51.192	14:18:1.446	37.196148927	-3.620412316	0.,0.	0.
51.442	14:18:1.696	37.196148821	-3.620412316	0.,0.	0.
51.692	14:18:1.946	37.196148927	-3.620412228	0.,0.	0.
51.942	14:18:2.196	37.196148927	-3.620412228	0.,0.	0.
52.192	14:18:2.446	37.196149209	-3.620412228	0.,0.	0.
52.442	14:18:2.696	37.196149103	-3.620412228	0.,0.	0.
