Time	UTC	GPS_lat(deg)	GPS_long(deg)	CBF:psi_ref	CBF:py_rel	CBF:px_rel	CBF:omega_safe
19.860	16:33:44.290	37.196134241	-3.620361733	0.,0.	0.,0.	0.,0.	0.
20.110	16:33:44.540	37.196134347	-3.620361645	0.,0.	0.,0.	0.,0.	0.
20.360	16:33:44.790	37.196134347	-3.620361645	0.,0.	0.,0.	0.,0.	0.
20.610	16:33:45.040	37.196134417	-3.620361425	0.,0.	0.,0.	0.,0.	0.
20.860	16:33:45.290	37.196134171	-3.620361645	0.,0.	0.,0.	0.,0.	0.
21.110	16:33:45.540	37.196134171	-3.620361645	0.,0.	0.,0.	0.,0.	0.
21.360	16:33:45.790	37.196134066	-3.620361733	0.,0.	0.,0.	0.,0.	0.
21.610	16:33:46.040	37.196134171	-3.620361733	0.,0.	0.,0.	0.,0.	0.
21.860	16:33:46.290	37.196134171	-3.620361733	0.,0.	0.,0.	0.,0.	0.
22.110	16:33:46.540	37.196134066	-3.620362085	0.,0.	0.,0.	0.,0.	0.
22.360	16:33:46.790	37.196134066	-3.620362085	0.,0.	0.,0.	0.,0.	0.
22.610	16:33:47.040	37.196133960	-3.620361953	0.,0.	0.,0.	0.,0.	0.
22.860	16:33:47.290	37.196133890	-3.620361865	0.,0.	0.,0.	0.,0.	0.
23.110	16:33:47.540	37.196133890	-3.620361866	0.,0.	0.,0.	0.,0.	0.
23.360	16:33:47.790	37.196133890	-3.620361866	0.,0.	0.,0.	0.,0.	0.
23.610	16:33:48.040	37.196133714	-3.620361866	0.,0.	0.,0.	0.,0.	0.
23.860	16:33:48.290	37.196133609	-3.620361866	0.,0.	0.,0.	0.,0.	0.
24.110	16:33:48.540	37.196133433	-3.620361954	0.,0.	0.,0.	0.,0.	0.
24.360	16:33:48.790	37.196133433	-3.620361954	0.,0.	0.,0.	0.,0.	0.
24.610	16:33:49.040	37.196133363	-3.620361866	0.,0.	0.,0.	0.,0.	0.
24.860	16:33:49.290	37.196133363	-3.620361866	0.,0.	0.,0.	0.,0.	0.
25.110	16:33:49.540	37.196132976	-3.620361866	0.,0.	0.,0.	0.,0.	0.
25.360	16:33:49.790	37.196132905	-3.620361866	0.,0.	0.,0.	0.,0.	0.
25.610	16:33:50.040	37.196132905	-3.620361866	0.,0.	0.,0.	0.,0.	0.
25.860	16:33:50.290	37.196132905	-3.620361866	0.,0.	0.,0.	0.,0.	0.
26.110	16:33:50.540	37.196132448	-3.620361515	0.,0.	0.,0.	0.,0.	0.
26.360	16:33:50.790	37.196132272	-3.620361427	0.,0.	0.,0.	0.,0.	0.
26.610	16:33:51.040	37.196132167	-3.620361515	0.,0.	0.,0.	0.,0.	0.
26.860	16:33:51.290	37.196132096	-3.620361647	0.,0.	0.,0.	0.,0.	0.
27.110	16:33:51.540	37.196132096	-3.620361647	0.,0.	0.,0.	0.,0.	0.
27.360	16:33:51.790	37.196131815	-3.620361163	0.,0.	0.,0.	0.,0.	0.
27.610	16:33:52.040	37.196131920	-3.620361295	0.,0.	0.,0.	0.,0.	0.
27.860	16:33:52.290	37.196131920	-3.620361295	0.,0.	0.,0.	0.,0.	0.
28.110	16:33:52.540	37.196131920	-3.620361295	0.,0.	0.,0.	0.,0.	0.
28.360	16:33:52.790	37.196131920	-3.620361295	0.,0.	0.,0.	0.,0.	0.
28.610	16:33:53.040	37.196131358	-3.620360944	0.,0.	0.,0.	0.,0.	0.
28.860	16:33:53.290	37.196131111	-3.620360856	0.,0.	0.,0.	0.,0.	0.
29.110	16:33:53.540	37.196130900	-3.620360724	0.,0.	0.,0.	0.,0.	0.
29.360	16:33:53.790	37.196130900	-3.620360724	0.,0.	0.,0.	0.,0.	0.
29.610	16:33:54.040	37.196130549	-3.620360372	0.,0.	0.,0.	0.,0.	0.
29.860	16:33:54.290	37.196130549	-3.620360372	0.,0.	0.,0.	0.,0.	0.
30.110	16:33:54.540	37.196130197	-3.620360152	0.,0.	0.,0.	0.,0.	0.
30.360	16:33:54.790	37.196130021	-3.620360153	0.,0.	0.,0.	0.,0.	0.
30.610	16:33:55.040	37.196129845	-3.620360065	0.,0.	0.,0.	0.,0.	0.
30.860	16:33:55.290	37.196129669	-3.620360065	0.,0.	0.,0.	0.,0.	0.
31.110	16:33:55.540	37.196129564	-3.620360065	0.,0.	0.,0.	0.,0.	0.
31.360	16:33:55.790	37.196129564	-3.620360065	0.,0.	0.,0.	0.,0.	0.
31.610	16:33:56.040	37.196129212	-3.620360285	0.,0.	0.,0.	0.,0.	0.
31.860	16:33:56.290	37.196129212	-3.620360285	0.,0.	0.,0.	0.,0.	0.
32.110	16:33:56.540	37.196128755	-3.620360505	0.,0.	0.,0.	0.,0.	0.
32.360	16:33:56.790	37.196128755	-3.620360505	0.,0.	0.,0.	0.,0.	0.
32.610	16:33:57.040	37.196128473	-3.620360505	0.,0.	0.,0.	0.,0.	0.
32.860	16:33:57.290	37.196128403	-3.620360505	0.,0.	0.,0.	0.,0.	0.
33.110	16:33:57.540	37.196128227	-3.620360505	0.,0.	0.,0.	0.,0.	0.
33.360	16:33:57.790	37.196127946	-3.620360637	0.,0.	0.,0.	0.,0.	0.
33.610	16:33:58.040	37.196127840	-3.620360725	0.,0.	0.,0.	0.,0.	0.
33.860	16:33:58.290	37.196127664	-3.620360857	0.,0.	0.,0.	0.,0.	0.
34.110	16:33:58.540	37.196127488	-3.620360858	0.,0.	0.,0.	0.,0.	0.
34.360	16:33:58.790	37.196127488	-3.620360858	0.,0.	0.,0.	0.,0.	0.
34.610	16:33:59.040	37.196127137	-3.620360858	0.,0.	0.,0.	0.,0.	0.
34.860	16:33:59.290	37.196127137	-3.620360726	0.,0.	0.,0.	0.,0.	0.
35.110	16:33:59.540	37.196126855	-3.620360726	0.,0.	0.,0.	0.,0.	0.
35.360	16:33:59.790	37.196126855	-3.620360726	0.,0.	0.,0.	0.,0.	0.
35.610	16:34:0.040	37.196126679	-3.620360858	0.,0.	0.,0.	0.,0.	0.
35.860	16:34:0.290	37.196126679	-3.620360858	0.,0.	0.,0.	0.,0.	0.
36.110	16:34:0.540	37.196126679	-3.620360858	0.,0.	0.,0.	0.,0.	0.
36.360	16:34:0.790	37.196126679	-3.620360858	0.,0.	0.,0.	0.,0.	0.
36.610	16:34:1.040	37.196125976	-3.620360507	0.,0.	0.,0.	0.,0.	0.
36.860	16:34:1.290	37.196125976	-3.620360507	0.,0.	0.,0.	0.,0.	0.
37.110	16:34:1.540	37.196125800	-3.620360507	0.,0.	0.,0.	0.,0.	0.
37.360	16:34:1.790	37.196125800	-3.620360507	0.,0.	0.,0.	0.,0.	0.
37.610	16:34:2.040	37.196125695	-3.620360639	0.,0.	0.,0.	0.,0.	0.
37.860	16:34:2.290	37.196125589	-3.620360507	0.,0.	0.,0.	0.,0.	0.
38.110	16:34:2.540	37.196125589	-3.620360507	0.,0.	0.,0.	0.,0.	0.
38.360	16:34:2.790	37.196125589	-3.620360507	0.,0.	0.,0.	0.,0.	0.
38.610	16:34:3.040	37.196125519	-3.620360507	0.,0.	0.,0.	0.,0.	0.
38.860	16:34:3.290	37.196125519	-3.620360507	0.,0.	0.,0.	0.,0.	0.
39.110	16:34:3.540	37.196125519	-3.620360507	0.,0.	0.,0.	0.,0.	0.
39.360	16:34:3.790	37.196125519	-3.620360507	0.,0.	0.,0.	0.,0.	0.
39.610	16:34:4.040	37.196125343	-3.620360376	0.,0.	0.,0.	0.,0.	0.
39.860	16:34:4.290	37.196125343	-3.620360376	0.,0.	0.,0.	0.,0.	0.
40.110	16:34:4.540	37.196125238	-3.620360288	0.,0.	0.,0.	0.,0.	0.
40.360	16:34:4.790	37.196125238	-3.620360288	0.,0.	0.,0.	0.,0.	0.
40.610	16:34:5.040	37.196125238	-3.620360156	0.,0.	0.,0.	0.,0.	0.
40.860	16:34:5.290	37.196125344	-3.620360068	0.,0.	0.,0.	0.,0.	0.
41.110	16:34:5.540	37.196125344	-3.620360068	0.,0.	0.,0.	0.,0.	0.
41.360	16:34:5.790	37.196125344	-3.620360068	0.,0.	0.,0.	0.,0.	0.
41.610	16:34:6.040	37.196125344	-3.620360068	0.,0.	0.,0.	0.,0.	0.
41.860	16:34:6.290	37.196125238	-3.620360289	0.,0.	0.,0.	0.,0.	0.
42.110	16:34:6.540	37.196125238	-3.620360289	0.,0.	0.,0.	0.,0.	0.
42.360	16:34:6.790	37.196125238	-3.620360157	0.,0.	0.,0.	0.,0.	0.
42.610	16:34:7.040	37.196125168	-3.620360157	0.,0.	0.,0.	0.,0.	0.
42.860	16:34:7.290	37.196125168	-3.620360157	0.,0.	0.,0.	0.,0.	0.
43.110	16:34:7.540	37.196125168	-3.620360157	0.,0.	0.,0.	0.,0.	0.
43.360	16:34:7.790	37.196125168	-3.620360157	0.,0.	0.,0.	0.,0.	0.
43.610	16:34:8.040	37.196125168	-3.620360157	0.,0.	0.,0.	0.,0.	0.
43.860	16:34:8.290	37.196125239	-3.620360157	0.,0.	0.,0.	0.,0.	0.
44.110	16:34:8.540	37.196125344	-3.620360289	0.,0.	0.,0.	0.,0.	0.
44.360	16:34:8.790	37.196125239	-3.620360289	0.,0.	0.,0.	0.,0.	0.
44.610	16:34:9.040	37.196125169	-3.620360290	0.,0.	0.,0.	0.,0.	0.
44.860	16:34:9.290	37.196125169	-3.620360290	0.,0.	0.,0.	0.,0.	0.
45.110	16:34:9.540	37.196125239	-3.620360158	0.,0.	0.,0.	0.,0.	0.
45.360	16:34:9.790	37.196125415	-3.620360158	0.,0.	0.,0.	0.,0.	0.
45.610	16:34:10.040	37.196125521	-3.620360070	0.,0.	0.,0.	0.,0.	0.
45.860	16:34:10.290	37.196125521	-3.620360070	0.,0.	0.,0.	0.,0.	0.
46.110	16:34:10.540	37.196125591	-3.620360070	0.,0.	0.,0.	0.,0.	0.
46.360	16:34:10.790	37.196125591	-3.620360070	0.,0.	0.,0.	0.,0.	0.
46.610	16:34:11.040	37.196125697	-3.620359938	0.,0.	0.,0.	0.,0.	0.
46.860	16:34:11.290	37.196125697	-3.620359938	0.,0.	0.,0.	0.,0.	0.
47.110	16:34:11.540	37.196125803	-3.620359851	0.,0.	0.,0.	0.,0.	0.
47.360	16:34:11.790	37.196125697	-3.620359851	0.,0.	0.,0.	0.,0.	0.
47.610	16:34:12.040	37.196125803	-3.620359719	0.,0.	0.,0.	0.,0.	0.
47.860	16:34:12.290	37.196125803	-3.620359719	0.,0.	0.,0.	0.,0.	0.
48.110	16:34:12.540	37.196125873	-3.620359851	0.,0.	0.,0.	0.,0.	0.
48.360	16:34:12.790	37.196125873	-3.620359851	0.,0.	0.,0.	0.,0.	0.
48.610	16:34:13.040	37.196126049	-3.620359719	0.,0.	0.,0.	0.,0.	0.
48.860	16:34:13.290	37.196126049	-3.620359719	0.,0.	0.,0.	0.,0.	0.
49.110	16:34:13.540	37.196126331	-3.620359719	0.,0.	0.,0.	0.,0.	0.
49.360	16:34:13.790	37.196126331	-3.620359719	0.,0.	0.,0.	0.,0.	0.
49.610	16:34:14.040	37.196126331	-3.620359632	0.,0.	0.,0.	0.,0.	0.
49.860	16:34:14.290	37.196126331	-3.620359632	0.,0.	0.,0.	0.,0.	0.
50.110	16:34:14.540	37.196126402	-3.620359632	0.,0.	0.,0.	0.,0.	0.
50.360	16:34:14.790	37.196126402	-3.620359632	0.,0.	0.,0.	0.,0.	0.
50.610	16:34:15.040	37.196126331	-3.620359500	0.,0.	0.,0.	0.,0.	0.
50.860	16:34:15.290	37.196126332	-3.620359500	0.,0.	0.,0.	0.,0.	0.
51.110	16:34:15.540	37.196126332	-3.620359500	0.,0.	0.,0.	0.,0.	0.
51.360	16:34:15.790	37.196126332	-3.620359368	0.,0.	0.,0.	0.,0.	0.
51.610	16:34:16.040	37.196126402	-3.620359368	0.,0.	0.,0.	0.,0.	0.
51.860	16:34:16.290	37.196126402	-3.620359369	0.,0.	0.,0.	0.,0.	0.
52.110	16:34:16.540	37.196126402	-3.620359281	0.,0.	0.,0.	0.,0.	0.
52.360	16:34:16.790	37.196126402	-3.620359281	0.,0.	0.,0.	0.,0.	0.
52.610	16:34:17.040	37.196126402	-3.620359149	0.,0.	0.,0.	0.,0.	0.
52.860	16:34:17.290	37.196126402	-3.620359149	0.,0.	0.,0.	0.,0.	0.
53.110	16:34:17.540	37.196126402	-3.620359149	0.,0.	0.,0.	0.,0.	0.
53.360	16:34:17.790	37.196126508	-3.620359149	0.,0.	0.,0.	0.,0.	0.
53.610	16:34:18.040	37.196126508	-3.620359061	0.,0.	0.,0.	0.,0.	0.
53.860	16:34:18.290	37.196126508	-3.620359061	0.,0.	0.,0.	0.,0.	0.
54.110	16:34:18.540	37.196126508	-3.620359150	0.,0.	0.,0.	0.,0.	0.
54.360	16:34:18.790	37.196126508	-3.620359150	0.,0.	0.,0.	0.,0.	0.
54.610	16:34:19.040	37.196126508	-3.620359150	0.,0.	0.,0.	0.,0.	0.
54.860	16:34:19.290	37.196126509	-3.620359150	0.,0.	0.,0.	0.,0.	0.
55.110	16:34:19.540	37.196126403	-3.620359150	0.,0.	0.,0.	0.,0.	0.
55.360	16:34:19.790	37.196126157	-3.620359282	0.,0.	0.,0.	0.,0.	0.
55.610	16:34:20.040	37.196126157	-3.620359282	0.,0.	0.,0.	0.,0.	0.
55.860	16:34:20.290	37.196126157	-3.620359282	0.,0.	0.,0.	0.,0.	0.
56.110	16:34:20.540	37.196126051	-3.620359282	0.,0.	0.,0.	0.,0.	0.
56.360	16:34:20.790	37.196126051	-3.620359282	0.,0.	0.,0.	0.,0.	0.
56.610	16:34:21.040	37.196126052	-3.620359150	0.,0.	0.,0.	0.,0.	0.
56.860	16:34:21.290	37.196126052	-3.620359151	0.,0.	0.,0.	0.,0.	0.
57.110	16:34:21.540	37.196126052	-3.620359151	0.,0.	0.,0.	0.,0.	0.
57.360	16:34:21.790	37.196126052	-3.620359151	0.,0.	0.,0.	0.,0.	0.
57.610	16:34:22.040	37.196125876	-3.620359151	0.,0.	0.,0.	0.,0.	0.
57.860	16:34:22.290	37.196125806	-3.620359151	0.,0.	0.,0.	0.,0.	0.
58.110	16:34:22.540	37.196125595	-3.620359151	0.,0.	0.,0.	0.,0.	0.
58.360	16:34:22.790	37.196125700	-3.620359151	0.,0.	0.,0.	0.,0.	0.
58.610	16:34:23.040	37.196125700	-3.620359283	0.,0.	0.,0.	0.,0.	0.
58.860	16:34:23.290	37.196125595	-3.620359151	0.,0.	0.,0.	0.,0.	0.
59.110	16:34:23.540	37.196125525	-3.620359151	0.,0.	0.,0.	0.,0.	0.
59.360	16:34:23.790	37.196125349	-3.620359064	0.,0.	0.,0.	0.,0.	0.
59.610	16:34:24.040	37.196125349	-3.620359064	0.,0.	0.,0.	0.,0.	0.
59.860	16:34:24.290	37.196125243	-3.620359064	0.,0.	0.,0.	0.,0.	0.
60.110	16:34:24.540	37.196125243	-3.620359064	0.,0.	0.,0.	0.,0.	0.
60.360	16:34:24.790	37.196125349	-3.620359064	0.,0.	0.,0.	0.,0.	0.
60.610	16:34:25.040	37.196125243	-3.620358932	0.,0.	0.,0.	0.,0.	0.
60.860	16:34:25.290	37.196125244	-3.620358932	0.,0.	0.,0.	0.,0.	0.
61.110	16:34:25.540	37.196125244	-3.620359064	0.,0.	0.,0.	0.,0.	0.
61.360	16:34:25.790	37.196125349	-3.620359152	0.,0.	0.,0.	0.,0.	0.
61.610	16:34:26.040	37.196125420	-3.620359284	0.,0.	0.,0.	0.,0.	0.
61.860	16:34:26.290	37.196125244	-3.620359153	0.,0.	0.,0.	0.,0.	0.
62.110	16:34:26.540	37.196125349	-3.620359153	0.,0.	0.,0.	0.,0.	0.
62.360	16:34:26.790	37.196125350	-3.620359285	0.,0.	0.,0.	0.,0.	0.
62.610	16:34:27.040	37.196125244	-3.620359373	0.,0.	0.,0.	0.,0.	0.
62.860	16:34:27.290	37.196125068	-3.620359373	0.,0.	0.,0.	0.,0.	0.
63.110	16:34:27.540	37.196125068	-3.620359505	0.,0.	0.,0.	0.,0.	0.
63.360	16:34:27.790	37.196124963	-3.620359373	0.,0.	0.,0.	0.,0.	0.
63.610	16:34:28.040	37.196125068	-3.620359373	0.,0.	0.,0.	0.,0.	0.
63.860	16:34:28.290	37.196124963	-3.620359373	0.,0.	0.,0.	0.,0.	0.
64.110	16:34:28.540	37.196124963	-3.620359285	0.,0.	0.,0.	0.,0.	0.
64.360	16:34:28.790	37.196124963	-3.620359373	0.,0.	0.,0.	0.,0.	0.
64.610	16:34:29.040	37.196124893	-3.620359505	0.,0.	0.,0.	0.,0.	0.
64.860	16:34:29.290	37.196124893	-3.620359505	0.,0.	0.,0.	0.,0.	0.
65.110	16:34:29.540	37.196124893	-3.620359505	0.,0.	0.,0.	0.,0.	0.
65.360	16:34:29.790	37.196124893	-3.620359505	0.,0.	0.,0.	0.,0.	0.
65.610	16:34:30.040	37.196124541	-3.620359638	0.,0.	0.,0.	0.,0.	0.
65.860	16:34:30.290	37.196124365	-3.620359726	0.,0.	0.,0.	0.,0.	0.
66.110	16:34:30.540	37.196124366	-3.620359858	0.,0.	0.,0.	0.,0.	0.
66.360	16:34:30.790	37.196124154	-3.620359858	0.,0.	0.,0.	0.,0.	0.
66.610	16:34:31.040	37.196123979	-3.620359858	0.,0.	0.,0.	0.,0.	0.
66.860	16:34:31.290	37.196124155	-3.620359946	0.,0.	0.,0.	0.,0.	0.
67.110	16:34:31.540	37.196124155	-3.620359946	0.,0.	0.,0.	0.,0.	0.
67.360	16:34:31.790	37.196124084	-3.620359946	0.,0.	0.,0.	0.,0.	0.
67.610	16:34:32.040	37.196124155	-3.620360078	0.,0.	0.,0.	0.,0.	0.
67.860	16:34:32.290	37.196124155	-3.620360078	0.,0.	0.,0.	0.,0.	0.
68.110	16:34:32.540	37.196123979	-3.620360079	0.,0.	0.,0.	0.,0.	0.
68.360	16:34:32.790	37.196124085	-3.620359947	0.,0.	0.,0.	0.,0.	0.
68.610	16:34:33.040	37.196123979	-3.620359947	0.,0.	0.,0.	0.,0.	0.
68.860	16:34:33.290	37.196124085	-3.620359947	0.,0.	0.,0.	0.,0.	0.
69.110	16:34:33.540	37.196124085	-3.620359947	0.,0.	0.,0.	0.,0.	0.
69.360	16:34:33.790	37.196123804	-3.620359947	0.,0.	0.,0.	0.,0.	0.
69.610	16:34:34.040	37.196123733	-3.620359947	0.,0.	0.,0.	0.,0.	0.
69.860	16:34:34.290	37.196123733	-3.620359947	0.,0.	0.,0.	0.,0.	0.
70.110	16:34:34.540	37.196123804	-3.620359948	0.,0.	0.,0.	0.,0.	0.
70.360	16:34:34.790	37.196123628	-3.620359948	0.,0.	0.,0.	0.,0.	0.
70.610	16:34:35.040	37.196123628	-3.620359948	0.,0.	0.,0.	0.,0.	0.
70.860	16:34:35.290	37.196123734	-3.620359860	0.,0.	0.,0.	0.,0.	0.
71.110	16:34:35.540	37.196123628	-3.620359860	0.,0.	0.,0.	0.,0.	0.
71.360	16:34:35.790	37.196123628	-3.620359860	0.,0.	0.,0.	0.,0.	0.
71.610	16:34:36.040	37.196123558	-3.620359860	0.,0.	0.,0.	0.,0.	0.
71.860	16:34:36.290	37.196123558	-3.620359860	0.,0.	0.,0.	0.,0.	0.
72.110	16:34:36.540	37.196123453	-3.620359728	0.,0.	0.,0.	0.,0.	0.
72.360	16:34:36.790	37.196123558	-3.620359729	0.,0.	0.,0.	0.,0.	0.
72.610	16:34:37.040	37.196123558	-3.620359641	0.,0.	0.,0.	0.,0.	0.
72.860	16:34:37.290	37.196123453	-3.620359641	0.,0.	0.,0.	0.,0.	0.
73.110	16:34:37.540	37.196123453	-3.620359641	0.,0.	0.,0.	0.,0.	0.
73.360	16:34:37.790	37.196123453	-3.620359641	0.,0.	0.,0.	0.,0.	0.
73.610	16:34:38.040	37.196123734	-3.620359641	0.,0.	0.,0.	0.,0.	0.
73.860	16:34:38.290	37.196123629	-3.620359641	0.,0.	0.,0.	0.,0.	0.
74.110	16:34:38.540	37.196123735	-3.620359641	0.,0.	0.,0.	0.,0.	0.
74.360	16:34:38.790	37.196123805	-3.620359641	0.,0.	0.,0.	0.,0.	0.
74.610	16:34:39.040	37.196123629	-3.620359642	0.,0.	0.,0.	0.,0.	0.
74.860	16:34:39.290	37.196123735	-3.620359642	0.,0.	0.,0.	0.,0.	0.
75.110	16:34:39.540	37.196123805	-3.620359730	0.,0.	0.,0.	0.,0.	0.
75.360	16:34:39.790	37.196123805	-3.620359730	0.,0.	0.,0.	0.,0.	0.
75.610	16:34:40.040	37.196123981	-3.620359730	0.,0.	0.,0.	0.,0.	0.
75.860	16:34:40.290	37.196123982	-3.620360170	0.,0.	0.,0.	0.,0.	0.
76.110	16:34:40.540	37.196124158	-3.620360170	0.,0.	0.,0.	0.,0.	0.
76.360	16:34:40.790	37.196124158	-3.620360170	0.,0.	0.,0.	0.,0.	0.
76.610	16:34:41.040	37.196124158	-3.620360302	0.,0.	0.,0.	0.,0.	0.
76.860	16:34:41.290	37.196124158	-3.620360302	0.,0.	0.,0.	0.,0.	0.
77.110	16:34:41.540	37.196124158	-3.620360302	0.,0.	0.,0.	0.,0.	0.
77.360	16:34:41.790	37.196124439	-3.620360654	0.,0.	0.,0.	0.,0.	0.
77.610	16:34:42.040	37.196124439	-3.620360742	0.,0.	0.,0.	0.,0.	0.
77.860	16:34:42.290	37.196124369	-3.620360742	0.,0.	0.,0.	0.,0.	0.
78.110	16:34:42.540	37.196124440	-3.620360743	0.,0.	0.,0.	0.,0.	0.
78.360	16:34:42.790	37.196124440	-3.620360743	0.,0.	0.,0.	0.,0.	0.
78.610	16:34:43.040	37.196124721	-3.620360875	0.,0.	0.,0.	0.,0.	0.
78.860	16:34:43.290	37.196124721	-3.620360875	0.,0.	0.,0.	0.,0.	0.
79.110	16:34:43.540	37.196124721	-3.620360875	0.,0.	0.,0.	0.,0.	0.
79.360	16:34:43.790	37.196124968	-3.620360875	0.,0.	0.,0.	0.,0.	0.
79.610	16:34:44.040	37.196124968	-3.620360875	0.,0.	0.,0.	0.,0.	0.
79.860	16:34:44.290	37.196124968	-3.620360875	0.,0.	0.,0.	0.,0.	0.
80.110	16:34:44.540	37.196125073	-3.620360743	0.,0.	0.,0.	0.,0.	0.
80.360	16:34:44.790	37.196125074	-3.620360875	0.,0.	0.,0.	0.,0.	0.
80.610	16:34:45.040	37.196125179	-3.620360876	0.,0.	0.,0.	0.,0.	0.
80.860	16:34:45.290	37.196125179	-3.620360964	0.,0.	0.,0.	0.,0.	0.
