Time	UTC	GPS_lat(deg)	GPS_long(deg)	CBF:psi_ref	CBF:py_rel	CBF:px_rel	CBF:omega_safe
5.860	16:33:30.290	37.196134238	-3.620362300	0.,0.	0.,0.	0.,0.	0.
6.110	16:33:30.540	37.196134344	-3.620362300	0.,0.	0.,0.	0.,0.	0.
6.360	16:33:30.790	37.196134415	-3.620362168	0.,0.	0.,0.	0.,0.	0.
6.610	16:33:31.040	37.196134415	-3.620362168	0.,0.	0.,0.	0.,0.	0.
6.860	16:33:31.290	37.196134239	-3.620362300	0.,0.	0.,0.	0.,0.	0.
7.110	16:33:31.540	37.196134239	-3.620362301	0.,0.	0.,0.	0.,0.	0.
7.360	16:33:31.790	37.196134063	-3.620362169	0.,0.	0.,0.	0.,0.	0.
7.610	16:33:32.040	37.196133957	-3.620362169	0.,0.	0.,0.	0.,0.	0.
7.860	16:33:32.290	37.196133957	-3.620362169	0.,0.	0.,0.	0.,0.	0.
8.110	16:33:32.540	37.196133957	-3.620362169	0.,0.	0.,0.	0.,0.	0.
8.360	16:33:32.790	37.196133711	-3.620362081	0.,0.	0.,0.	0.,0.	0.
8.610	16:33:33.040	37.196133782	-3.620362081	0.,0.	0.,0.	0.,0.	0.
8.860	16:33:33.290	37.196133782	-3.620362081	0.,0.	0.,0.	0.,0.	0.
9.110	16:33:33.540	37.196133782	-3.620362169	0.,0.	0.,0.	0.,0.	0.
9.360	16:33:33.790	37.196133782	-3.620362169	0.,0.	0.,0.	0.,0.	0.
9.610	16:33:34.040	37.196133782	-3.620362169	0.,0.	0.,0.	0.,0.	0.
9.860	16:33:34.290	37.196133535	-3.620362081	0.,0.	0.,0.	0.,0.	0.
10.110	16:33:34.540	37.196133536	-3.620361949	0.,0.	0.,0.	0.,0.	0.
10.360	16:33:34.790	37.196133712	-3.620361950	0.,0.	0.,0.	0.,0.	0.
10.610	16:33:35.040	37.196133712	-3.620361950	0.,0.	0.,0.	0.,0.	0.
10.860	16:33:35.290	37.196133712	-3.620361950	0.,0.	0.,0.	0.,0.	0.
11.110	16:33:35.540	37.196133712	-3.620361950	0.,0.	0.,0.	0.,0.	0.
11.360	16:33:35.790	37.196133606	-3.620361730	0.,0.	0.,0.	0.,0.	0.
11.610	16:33:36.040	37.196133606	-3.620361730	0.,0.	0.,0.	0.,0.	0.
11.860	16:33:36.290	37.196133430	-3.620361862	0.,0.	0.,0.	0.,0.	0.
12.110	16:33:36.540	37.196133430	-3.620361862	0.,0.	0.,0.	0.,0.	0.
12.360	16:33:36.790	37.196133430	-3.620361862	0.,0.	0.,0.	0.,0.	0.
12.610	16:33:37.040	37.196133606	-3.620361950	0.,0.	0.,0.	0.,0.	0.
12.860	16:33:37.290	37.196133712	-3.620361950	0.,0.	0.,0.	0.,0.	0.
13.110	16:33:37.540	37.196133712	-3.620361950	0.,0.	0.,0.	0.,0.	0.
13.360	16:33:37.790	37.196133607	-3.620361862	0.,0.	0.,0.	0.,0.	0.
13.610	16:33:38.040	37.196133783	-3.620361863	0.,0.	0.,0.	0.,0.	0.
13.860	16:33:38.290	37.196133712	-3.620361951	0.,0.	0.,0.	0.,0.	0.
14.110	16:33:38.540	37.196133783	-3.620362083	0.,0.	0.,0.	0.,0.	0.
14.360	16:33:38.790	37.196133783	-3.620362083	0.,0.	0.,0.	0.,0.	0.
14.610	16:33:39.040	37.196133783	-3.620362083	0.,0.	0.,0.	0.,0.	0.
14.860	16:33:39.290	37.196133783	-3.620362083	0.,0.	0.,0.	0.,0.	0.
15.110	16:33:39.540	37.196133783	-3.620362083	0.,0.	0.,0.	0.,0.	0.
15.360	16:33:39.790	37.196133783	-3.620362083	0.,0.	0.,0.	0.,0.	0.
15.610	16:33:40.040	37.196134064	-3.620361863	0.,0.	0.,0.	0.,0.	0.
15.860	16:33:40.290	37.196134170	-3.620361951	0.,0.	0.,0.	0.,0.	0.
16.110	16:33:40.540	37.196134170	-3.620361951	0.,0.	0.,0.	0.,0.	0.
16.360	16:33:40.790	37.196134170	-3.620362083	0.,0.	0.,0.	0.,0.	0.
16.610	16:33:41.040	37.196133959	-3.620361864	0.,0.	0.,0.	0.,0.	0.
16.860	16:33:41.290	37.196133959	-3.620361952	0.,0.	0.,0.	0.,0.	0.
17.110	16:33:41.540	37.196133959	-3.620361952	0.,0.	0.,0.	0.,0.	0.
17.360	16:33:41.790	37.196133959	-3.620361952	0.,0.	0.,0.	0.,0.	0.
17.610	16:33:42.040	37.196133959	-3.620361864	0.,0.	0.,0.	0.,0.	0.
17.860	16:33:42.290	37.196134065	-3.620361732	0.,0.	0.,0.	0.,0.	0.
18.110	16:33:42.540	37.196133959	-3.620361864	0.,0.	0.,0.	0.,0.	0.
18.360	16:33:42.790	37.196133959	-3.620361864	0.,0.	0.,0.	0.,0.	0.
18.610	16:33:43.040	37.196134065	-3.620361864	0.,0.	0.,0.	0.,0.	0.
18.860	16:33:43.290	37.196134065	-3.620361952	0.,0.	0.,0.	0.,0.	0.
19.110	16:33:43.540	37.196134065	-3.620362084	0.,0.	0.,0.	0.,0.	0.
19.360	16:33:43.790	37.196134171	-3.620361952	0.,0.	0.,0.	0.,0.	0.
19.610	16:33:44.040	37.196134171	-3.620361864	0.,0.	0.,0.	0.,0.	0.
